"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"1",82640,"toys","off_brand",3.6,11,30,76.4,868
"2",194000,"toys","off_brand",4,11,15,57.1,2625
"3",148423,"food","off_brand",4.5,5,28,59.8,974
"4",201070,"toys","off_brand",4.7,2,15,33.6,3107
"5",170240,"food","off_brand",4.6,1,NA,40.7,2384
"6",219676,"other","premium",4.6,7,25,44.7,3735
"7",112757,"toys","off_brand",4.6,15,6,61.6,709
"8",184188,"toys","premium",4.8,5,28,54.2,2823
"9",123634,"health","off_brand",4.4,18,8,35.3,853
"10",77255,"health","premium",3.5,2,14,67.8,828
"11",240618,"food","off_brand",4.7,2,27,82.7,2558
"12",165344,"toys","off_brand",4.3,1,16,61.1,2899
"13",199002,"toys","premium",4.7,11,21,47.9,2443
"14",136068,"toys","off_brand",4.2,14,NA,77.9,1272
"15",149321,"health",NA,4.8,8,23,39.4,1124
"16",95691,"toys","premium",4,2,24,27,2331
"17",56935,"health","premium",3.2,2,17,20.5,603
"18",89687,"toys","off_brand",4,2,26,87,1251
"19",104253,"health","off_brand",4.4,1,20,54.4,818
"20",84600,"toys","off_brand",3.4,4,11,69.1,1723
"21",82039,"toys",NA,3.6,4,15,45.1,1107
"22",70452,"toys",NA,3.6,7,9,31.1,1046
"23",199364,"health","off_brand",4.8,0,15,60.4,2808
"24",142396,"health","off_brand",3.6,4,18,50.3,1867
"25",118944,"toys","premium",4.4,4,NA,74.2,767
"26",157113,"health","off_brand",3.4,175,23,67.8,2765
"27",192908,"health","off_brand",4.2,3,5,31.2,2967
"28",220259,"health","off_brand",4.2,4,19,51.9,2884
"29",169257,"health","premium",4.8,14,NA,24,1777
"30",59116,"health","off_brand",3.5,4,21,NA,969
"31",143671,"toys","off_brand",4.5,11,20,NA,1186
"32",260598,"food","off_brand",4.8,16,19,NA,3256
"33",219785,"health","off_brand",4.4,10,6,48,2877
"34",138886,"toys","off_brand",4.6,6,22,65.4,1280
